Sys_Timestamp,UTC_Time,Lat,Lon,Fix,Sats,Alt,SDR_dBm
2026-04-21T00:52:39,234841.000,5549.8102N,00430.0486W,1,30,50.4,N/A
2026-04-21T00:52:39,234847.000,5549.8101N,00430.0486W,1,31,50.3,N/A
2026-04-21T00:52:39,234850.000,5549.8101N,00430.0485W,1,31,50.3,N/A
2026-04-21T00:52:39,234858.000,5549.8100N,00430.0485W,1,31,50.0,N/A
2026-04-21T00:52:39,234900.000,5549.8099N,00430.0485W,1,31,49.9,N/A
2026-04-21T00:52:39,234906.000,5549.8099N,00430.0484W,1,31,49.8,N/A
2026-04-21T00:52:39,234907.000,5549.8099N,00430.0485W,1,31,49.7,N/A
2026-04-21T00:52:39,234909.000,5549.8098N,00430.0485W,1,31,49.6,N/A
2026-04-21T00:52:39,234914.000,5549.8099N,00430.0485W,1,31,49.6,N/A
2026-04-21T00:52:39,234921.000,5549.8099N,00430.0484W,1,31,49.8,N/A
2026-04-21T00:52:39,234923.000,5549.8100N,00430.0485W,1,31,49.9,N/A
2026-04-21T00:52:39,234925.000,5549.8101N,00430.0485W,1,31,50.0,N/A
2026-04-21T00:52:39,234929.000,5549.8102N,00430.0485W,1,31,50.5,N/A
2026-04-21T00:52:39,234933.000,5549.8103N,00430.0485W,1,31,50.8,N/A
2026-04-21T00:52:40,234935.000,5549.8103N,00430.0484W,1,31,50.9,N/A
2026-04-21T00:52:40,234936.000,5549.8103N,00430.0485W,1,31,50.9,N/A
2026-04-21T00:52:40,234937.000,5549.8104N,00430.0485W,1,31,51.0,N/A
2026-04-21T00:52:40,234940.000,5549.8105N,00430.0485W,1,31,51.1,N/A
2026-04-21T00:52:40,234942.000,5549.8106N,00430.0485W,1,31,51.2,N/A
2026-04-21T00:52:40,234945.000,5549.8107N,00430.0485W,1,31,51.3,N/A
2026-04-21T00:52:40,234947.000,5549.8107N,00430.0486W,1,30,51.4,N/A
2026-04-21T00:52:40,234952.000,5549.8107N,00430.0487W,1,30,51.4,N/A
2026-04-21T00:52:40,235002.000,5549.8107N,00430.0488W,1,28,51.6,N/A
2026-04-21T00:52:40,235008.000,5549.8108N,00430.0488W,1,29,51.6,N/A
2026-04-21T00:52:40,235013.000,5549.8109N,00430.0488W,1,30,51.5,N/A
2026-04-21T00:52:40,235014.000,5549.8108N,00430.0488W,1,30,51.6,N/A
2026-04-21T00:52:40,235026.000,5549.8109N,00430.0488W,1,28,51.4,N/A
2026-04-21T00:52:40,235027.000,5549.8110N,00430.0488W,1,29,51.5,N/A
2026-04-21T00:52:40,235028.000,5549.8109N,00430.0488W,1,30,51.3,N/A
2026-04-21T00:52:40,235029.000,5549.8110N,00430.0488W,1,29,51.4,N/A
2026-04-21T00:52:40,235030.000,5549.8110N,00430.0489W,1,29,51.4,N/A
2026-04-21T00:52:40,235033.000,5549.8111N,00430.0489W,1,29,51.4,N/A
2026-04-21T00:52:40,235036.000,5549.8111N,00430.0490W,1,30,51.5,N/A
2026-04-21T00:52:41,235037.000,5549.8112N,00430.0490W,1,30,51.6,N/A
2026-04-21T00:52:41,235039.000,5549.8113N,00430.0491W,1,30,51.7,N/A
2026-04-21T00:52:41,235044.000,5549.8114N,00430.0492W,1,30,51.9,N/A
2026-04-21T00:52:41,235047.000,5549.8115N,00430.0492W,1,30,52.1,N/A
2026-04-21T00:52:41,235049.000,5549.8115N,00430.0493W,1,30,52.2,N/A
2026-04-21T00:52:41,235050.000,5549.8116N,00430.0493W,1,30,52.2,N/A
2026-04-21T00:52:41,235051.000,5549.8116N,00430.0494W,1,30,52.2,N/A
2026-04-21T00:52:41,235054.000,5549.8117N,00430.0494W,1,30,52.2,N/A
2026-04-21T00:52:41,235101.000,5549.8117N,00430.0495W,1,30,52.0,N/A
2026-04-21T00:52:41,235109.000,5549.8117N,00430.0496W,1,29,51.6,N/A
2026-04-21T00:52:41,235114.000,5549.8116N,00430.0496W,1,29,51.4,N/A
2026-04-21T00:52:41,235125.000,5549.8116N,00430.0497W,1,29,50.9,N/A
2026-04-21T00:52:41,235127.000,5549.8117N,00430.0497W,1,29,51.0,N/A
2026-04-21T00:52:41,235131.000,5549.8118N,00430.0497W,1,29,50.9,N/A
2026-04-21T00:52:41,235136.000,5549.8118N,00430.0498W,1,29,50.8,N/A
2026-04-21T00:52:41,235138.000,5549.8119N,00430.0498W,1,29,50.8,N/A
2026-04-21T00:52:41,235142.000,5549.8118N,00430.0498W,1,30,50.7,N/A
2026-04-21T00:52:42,235151.000,5549.8119N,00430.0499W,1,31,50.8,N/A
2026-04-21T00:52:42,235157.000,5549.8120N,00430.0499W,1,30,50.8,N/A
2026-04-21T00:52:42,235209.000,5549.8121N,00430.0499W,1,30,51.2,N/A
2026-04-21T00:52:42,235210.000,5549.8120N,00430.0499W,1,28,51.2,N/A
2026-04-21T00:52:42,235211.000,5549.8121N,00430.0499W,1,28,51.2,N/A
2026-04-21T00:52:42,235212.000,5549.8120N,00430.0499W,1,28,51.2,N/A
2026-04-21T00:52:42,235213.000,5549.8121N,00430.0499W,1,28,51.2,N/A
2026-04-21T00:52:42,235214.000,5549.8121N,00430.0500W,1,28,51.3,N/A
2026-04-21T00:52:42,235223.000,5549.8121N,00430.0499W,1,29,51.5,N/A
2026-04-21T00:52:42,235224.000,5549.8122N,00430.0500W,1,29,51.6,N/A
2026-04-21T00:52:42,235232.000,5549.8122N,00430.0499W,1,28,51.6,N/A
2026-04-21T00:52:42,235233.000,5549.8122N,00430.0500W,1,29,51.6,N/A
2026-04-21T00:52:42,235234.000,5549.8122N,00430.0499W,1,28,51.6,N/A
2026-04-21T00:52:42,235241.000,5549.8122N,00430.0498W,1,30,51.5,N/A
2026-04-21T00:52:43,235243.000,5549.8121N,00430.0498W,1,30,51.5,N/A
2026-04-21T00:52:44,235244.000,5549.8122N,00430.0498W,1,30,51.6,N/A
2026-04-21T00:52:50,235246.000,5549.8122N,00430.0498W,1,30,51.5,N/A
