Timestamp,Time,Latitude,Longitude,Fix,Sats,Altitude
,234107.000,5549.8109N,00430.0490W,1,30,50.7
,234108.000,5549.8109N,00430.0490W,1,30,50.6
,234109.000,5549.8109N,00430.0490W,1,30,50.6
,234110.000,5549.8109N,00430.0490W,1,30,50.5
,234111.000,5549.8109N,00430.0490W,1,31,50.5
,234112.000,5549.8109N,00430.0490W,1,30,50.4
,234113.000,5549.8109N,00430.0490W,1,30,50.4
,234114.000,5549.8108N,00430.0490W,1,30,50.3
,234115.000,5549.8108N,00430.0490W,1,32,50.3
,234116.000,5549.8108N,00430.0490W,1,32,50.2
,234117.000,5549.8107N,00430.0490W,1,31,50.1
,234118.000,5549.8107N,00430.0490W,1,30,50.1
,234119.000,5549.8107N,00430.0490W,1,31,50.0
,234120.000,5549.8107N,00430.0490W,1,31,50.0
,234121.000,5549.8107N,00430.0490W,1,31,50.1
,234122.000,5549.8107N,00430.0490W,1,31,50.1
,234123.000,5549.8107N,00430.0490W,1,31,50.1
,234124.000,5549.8107N,00430.0490W,1,31,50.0
,234125.000,5549.8107N,00430.0490W,1,31,50.0
,234126.000,5549.8107N,00430.0490W,1,31,50.0
,234127.000,5549.8107N,00430.0490W,1,32,50.0
,234128.000,5549.8107N,00430.0490W,1,32,50.0
,234129.000,5549.8107N,00430.0490W,1,33,49.9
,234130.000,5549.8106N,00430.0491W,1,33,49.9
,234131.000,5549.8106N,00430.0490W,1,33,49.9
,234132.000,5549.8106N,00430.0490W,1,33,49.9
,234133.000,5549.8106N,00430.0490W,1,33,49.9
,234134.000,5549.8106N,00430.0490W,1,33,49.9
,234135.000,5549.8106N,00430.0490W,1,33,49.9
,234136.000,5549.8106N,00430.0490W,1,33,49.9
,234137.000,5549.8106N,00430.0491W,1,33,49.8
,234138.000,5549.8106N,00430.0491W,1,33,49.8
,234139.000,5549.8107N,00430.0491W,1,33,49.8
,234140.000,5549.8106N,00430.0491W,1,33,49.8
,234141.000,5549.8107N,00430.0491W,1,33,49.8
,234142.000,5549.8107N,00430.0491W,1,33,49.9
,234143.000,5549.8107N,00430.0492W,1,32,49.9
,234144.000,5549.8107N,00430.0492W,1,31,49.9
,234145.000,5549.8107N,00430.0492W,1,31,49.9
,234146.000,5549.8107N,00430.0492W,1,31,50.0
,234147.000,5549.8107N,00430.0492W,1,31,50.0
,234148.000,5549.8107N,00430.0492W,1,31,50.0
